No	Simplified	Traditional	Pinyin	English
1	爱	愛	ài	love
2	爱好	愛好	ài hào	hobby
3	八	八	bā	eight
4	爸爸｜爸	爸爸｜爸	bàba ｜ bà	dad
5	吧	吧	ba	(interjection particle)
6	白（形）	白（形）	bái 	white
7	白天	白天	bái tiān	day
8	百	百	bǎi	hundred
9	班	班	bān	class
10	半	半	bàn	half
11	半年	半年	bàn nián	half a year
12	半天	半天	bàn tiān	half day
13	帮	幫	bāng	help
14	帮忙	幫忙	bāng máng	help
15	包	包	bāo	package
16	包子	包子	bāo zi	bun
17	杯	杯	bēi	cup
18	杯子	杯子	bēi zi	cup
19	北	北	běi	north
20	北边	北邊	běi biān	North side
21	北京	北京	běi jīng	Beijing
22	本（量）	本（量）	běn 	(measure word for books or volumes)
23	本子	本子	běn zi	book
24	比	比	bǐ	particle used for comparison
25	别（副）	別（副）	bié	Don’t
26	别的	別的	bié de	other
27	别人	別人	bié·rén	other people
28	病	病	bìng	disease
29	病人	病人	bìng rén	patient
30	不大	不大	bú dà	not big
31	不对	不對	bú duì	wrong
32	不客气	不客氣	bú kè qì	You’re welcome
33	不用	不用	bú yòng	No need to
34	不	不	bù	No
35	菜	菜	cài	dish
36	茶	茶	chá	tea
37	差	差	chà	differ from; bad; short of
38	常	常	cháng	often
39	常常	常常	cháng cháng	often
40	唱	唱	chàng	sing
41	唱歌	唱歌	chàng gē	sing
42	车	車	chē	car
43	车票	車票	chē piào	ticket
44	车上	車上	chē shàng	in the car
45	车站	車站	chē zhàn	station
46	吃	吃	chī	eat
47	吃饭	吃飯	chī fàn	have meal
48	出	出	chū	out
49	出来	出來	chū lái	come
50	出去	出去	chū qù	go out
51	穿	穿	chuān	wear
52	床	牀	chuáng	bed
53	次（量）	次（量）	cì 	(measure word for times, frequency)
54	从	從	cóng	from
55	错	錯	cuò	wrong
56	打（动）	打（動）	dǎ 	hit, take
57	打车	打車	dǎ chē	take a taxi
58	打电话	打電話	dǎ diàn huà	make a phonecall
59	打开	打開	dǎ kāi	turn on
60	打球	打球	dǎ qiú	play ball
61	大	大	dà	large, big
62	大学	大學	dà xué	university
63	大学生	大學生	dà xué shēng	university student
64	到	到	dào	reach
65	得到	得到	dé dào	get
66	地	地	de	auxiliary word
67	的	的	de	(aux.)
68	等（动）	等（動）	děng	wait
69	地	地	dì	ground
70	地点	地點	dìdiǎn	location
71	地方	地方	dìfang	local
72	地上	地上	dì shàng	on the ground
73	地图	地圖	dìtú	Map
74	弟弟｜弟	弟弟｜弟	dì di ｜ dì	younger brother
75	第（第二）	第（第二）	dì （ dì èr ）	auxiliary word for ordinal numbers (second )
76	点	點	diǎn	spot
77	电	電	diàn	electricity
78	电话	電話	diàn huà	phone
79	电脑	電腦	diànnǎo	Computer
80	电视	電視	diànshì	television
81	电视机	電視機	diàn shì jī	television
82	电影	電影	diànyǐng	Film
83	电影院	電影院	diàn yǐng yuàn	cinema; movie theater
84	东	東	dōng	east
85	东边	東邊	dōng biān	east side
86	东西	東西	dōngxi	thing
87	动	動	dòng	move
88	动作	動作	dòngzuò	action
89	都	都	dōu	all
90	读	讀	dú	read
91	读书	讀書	dú shū	reading; study
92	对（形）	對（形）	duì	right
93	对不起	對不起	duìbuqǐ	I’m sorry.
94	多（形、代）	多（形、代）	duō	many; much; more
95	多少	多少	duōshao	how much
96	饿	餓	è	hungry
97	儿子	兒子	érzi	Son
98	二	二	èr	Two
99	饭	飯	fàn	rice; meal
100	饭店	飯店	fàndiàn	restaurant
101	房间	房間	fángjiān	Room
102	房子	房子	fáng zi	house; building
103	放	放	fàng	discharge
104	放假	放假	fàng jià	holiday; have a holiday
105	放学	放學	fàng xué	off school
106	飞	飛	fēi	fly
107	飞机	飛機	fēijī	aircraft
108	非常	非常	fēicháng	very
109	分（名、量）	分（名、量）	fēn	minute; point; part; (measure word)
110	风	風	fēng	wind
111	干	幹	gān	dry
112	干净	乾淨	gānjìng	clean
113	干	幹	gàn	do
114	干什么	幹什麼	gàn shén me	What to do
115	高	高	gāo	high
116	高兴	高興	gāoxìng	happy
117	告诉	告訴	gàosu	tell
118	哥哥｜哥	哥哥｜哥	gē ge ｜ gē	elder brother
119	歌	歌	gē	song
120	个	個	gè	individual
121	给	給	gěi	give
122	跟	跟	gēn	with
123	工人	工人	gōngrén	Worker
124	工作	工作	gōngzuò	work
125	关（动）	關（動）	guān	shut; close; turn off
126	关上	關上	guān shàng	close;shut to; turn off
127	贵	貴	guì	noble
128	国	國	guó	country; state; nation
129	国家	國家	guójiā	Country
130	国外	國外	guó wài	foreign; oversea; abroad
131	过	過	guò	pass
132	还	還	hái	also; still; yet
133	还是	還是	háishi	still
134	还有	還有	hái yǒu	also; in addition; besides
135	孩子	孩子	háizi	Children
136	汉语	漢語	hànyǔ	Chinese
137	汉字	漢字	hàn zì	Chinese character
138	好（形）	好（形）	hǎo	good
